LSOA code (2011),LSOA name (2011),Local Authority District code (2019),Local Authority District name (2019),Index of Multiple Deprivation (IMD) Score,Index of Multiple Deprivation (IMD) Rank (where 1 is most deprived),Index of Multiple Deprivation (IMD) Decile (where 1 is most deprived 10% of LSOAs),Income Score (rate),Income Rank (where 1 is most deprived),Income Decile (where 1 is most deprived 10% of LSOAs),Employment Score (rate),Employment Rank (where 1 is most deprived),Employment Decile (where 1 is most deprived 10% of LSOAs),"Education, Skills and Training Score","Education, Skills and Training Rank (where 1 is most deprived)","Education, Skills and Training Decile (where 1 is most deprived 10% of LSOAs)",Health Deprivation and Disability Score,Health Deprivation and Disability Rank (where 1 is most deprived),Health Deprivation and Disability Decile (where 1 is most deprived 10% of LSOAs),Crime Score,Crime Rank (where 1 is most deprived),Crime Decile (where 1 is most deprived 10% of LSOAs),Barriers to Housing and Services Score,Barriers to Housing and Services Rank (where 1 is most deprived),Barriers to Housing and Services Decile (where 1 is most deprived 10% of LSOAs),Living Environment Score,Living Environment Rank (where 1 is most deprived),Living Environment Decile (where 1 is most deprived 10% of LSOAs),Income Deprivation Affecting Children Index (IDACI) Score (rate),Income Deprivation Affecting Children Index (IDACI) Rank (where 1 is most deprived),Income Deprivation Affecting Children Index (IDACI) Decile (where 1 is most deprived 10% of LSOAs),Income Deprivation Affecting Older People (IDAOPI) Score (rate),Income Deprivation Affecting Older People (IDAOPI) Rank (where 1 is most deprived),Income Deprivation Affecting Older People (IDAOPI) Decile (where 1 is most deprived 10% of LSOAs),Children and Young People Sub-domain Score,Children and Young People Sub-domain Rank (where 1 is most deprived),Children and Young People Sub-domain Decile (where 1 is most deprived 10% of LSOAs),Adult Skills Sub-domain Score,Adult Skills Sub-domain Rank (where 1 is most deprived),Adult Skills Sub-domain Decile (where 1 is most deprived 10% of LSOAs),Geographical Barriers Sub-domain Score,Geographical Barriers Sub-domain Rank (where 1 is most deprived),Geographical Barriers Sub-domain Decile (where 1 is most deprived 10% of LSOAs),Wider Barriers Sub-domain Score,Wider Barriers Sub-domain Rank (where 1 is most deprived),Wider Barriers Sub-domain Decile (where 1 is most deprived 10% of LSOAs),Indoors Sub-domain Score,Indoors Sub-domain Rank (where 1 is most deprived),Indoors Sub-domain Decile (where 1 is most deprived 10% of LSOAs),Outdoors Sub-domain Score,Outdoors Sub-domain Rank (where 1 is most deprived),Outdoors Sub-domain Decile (where 1 is most deprived 10% of LSOAs),Total population: mid 2015 (excluding prisoners),Dependent Children aged 0-15: mid 2015 (excluding prisoners),Population aged 16-59: mid 2015 (excluding prisoners),Older population aged 60 and over: mid 2015 (excluding prisoners),Working age population 18-59/64: for use with Employment Deprivation Domain (excluding prisoners) 
E01011004,Kirklees 040A,E08000034,Kirklees,52.755,1757,1,0.298,2259,1,0.292,536,1,44.322,4326,2,1.485,1536,1,0.743,6023,2,21.294,15148,5,18.548,16398,5,0.321,3568,2,0.288,5163,2,0.896,4583,2,0.445,4252,2,-0.135,18061,6,1.395,8970,3,0.302,11859,4,-0.355,21279,7,1355,247,707,401,730
E01011005,Kirklees 044A,E08000034,Kirklees,14.735,19194,6,0.067,22226,7,0.071,18529,6,13.48,18610,6,-0.098,17542,6,0.613,7549,3,17.021,20413,7,24.904,11846,4,0.087,21254,7,0.07,25217,8,-0.162,18789,6,0.287,17412,6,0.345,10116,4,-1.514,23469,8,0.309,11758,4,0.424,9204,3,1524,210,781,533,792
E01011006,Kirklees 040B,E08000034,Kirklees,20.261,14114,5,0.115,14258,5,0.09,14379,5,16.101,16493,6,0.172,13436,5,0.558,8295,3,14.602,23530,8,35.126,6184,2,0.148,14219,5,0.13,16162,5,0.087,14682,5,0.286,17636,6,-0.085,17149,6,-0.384,17264,6,0.837,5289,2,0.273,11105,4,1533,247,837,449,843
E01011007,Kirklees 042A,E08000034,Kirklees,18.51,15682,5,0.096,16867,6,0.069,18991,6,6.458,25641,8,-0.377,21821,7,0.296,11987,4,20.295,16298,5,56.76,988,1,0.124,16671,6,0.137,15337,5,-0.619,25514,8,0.231,23910,8,-0.184,18989,6,1.298,9333,3,1.613,787,1,0.034,14737,5,1846,233,1326,287,1351
E01011008,Kirklees 040C,E08000034,Kirklees,24.687,10954,4,0.124,13254,5,0.083,15645,5,17.599,15396,5,0.447,9750,3,0.558,8292,3,13.132,25236,8,57.784,881,1,0.177,11773,4,0.189,10817,4,-0.034,16647,6,0.322,13605,5,-0.712,26971,9,0.564,12469,4,1.545,970,1,0.393,9597,3,1517,245,1039,233,1045
E01011009,Kirklees 044B,E08000034,Kirklees,19.429,14881,5,0.104,15817,5,0.106,11558,4,11.86,20075,7,0.247,12379,4,0.545,8472,3,15.211,22736,7,27.004,10543,4,0.153,13807,5,0.073,24577,8,-0.197,19349,6,0.269,19529,6,-0.41,22679,7,0.595,12335,4,0.726,6519,2,-0.405,22105,7,1399,226,733,440,731
E01011010,Kirklees 044C,E08000034,Kirklees,39.434,4447,2,0.274,3073,1,0.168,5099,2,43.702,4480,2,0.766,6217,2,0.722,6261,2,14.303,23875,8,35.084,6206,2,0.415,1185,1,0.232,7957,3,1.005,3724,2,0.42,5533,2,-0.61,25663,8,0.713,11804,4,0.942,4323,2,-0.065,16363,5,1474,344,834,296,835
E01011011,Kirklees 044D,E08000034,Kirklees,7.048,28258,9,0.027,31312,10,0.04,27798,9,2.297,30531,10,-0.418,22365,7,0.267,12440,4,16.358,21219,7,19.989,15299,5,0.056,26360,9,0.028,32186,10,-1.246,30932,10,0.184,28482,9,0.357,9923,4,-1.895,25360,8,0.409,10408,4,-0.445,22701,7,1555,212,820,523,826
E01011012,Kirklees 040D,E08000034,Kirklees,17.112,16888,6,0.102,16021,5,0.076,17332,6,25.735,10448,4,-0.138,18202,6,-0.012,16866,6,17.111,20295,7,28.349,9753,3,0.138,15173,5,0.151,13995,5,0.513,8698,3,0.332,12513,4,-0.149,18339,6,0.469,12893,4,0.625,7639,3,0.103,13595,5,1683,345,1045,293,1036
E01011013,Kirklees 007A,E08000034,Kirklees,13.904,20042,7,0.089,18059,6,0.065,20103,7,18.634,14673,5,-0.329,21109,7,-0.018,16961,6,18.055,19058,6,23.945,12457,4,0.134,15615,5,0.081,23129,8,0.048,15266,5,0.323,13526,5,0.463,8476,3,-1.911,25437,8,0.2,13297,5,0.521,8177,3,1552,282,714,556,738
E01011014,Kirklees 007B,E08000034,Kirklees,33.486,6471,2,0.18,8035,3,0.129,8611,3,40.58,5229,2,0.24,12505,4,0.881,4579,2,27.85,8563,3,41.212,3876,2,0.205,9723,3,0.206,9535,3,0.547,8259,3,0.467,3310,2,0.374,9649,3,1.3,9322,3,1.038,3571,2,0.341,10227,4,1572,351,1023,198,1022
E01011015,Kirklees 010A,E08000034,Kirklees,43.769,3300,2,0.284,2733,1,0.181,4203,2,57.517,2037,1,0.681,7062,3,1.136,2591,1,23.495,12678,4,19.498,15678,5,0.233,7898,3,0.435,1280,1,0.423,9783,3,0.589,300,1,-0.55,24794,8,2.625,5261,2,-0.162,19043,6,0.622,7209,3,1650,386,907,357,903
E01011016,Kirklees 013A,E08000034,Kirklees,36.093,5497,2,0.208,6189,2,0.144,7097,3,47.146,3735,2,0.396,10384,4,0.681,6720,3,17.114,20294,7,50.793,1782,1,0.102,19223,6,0.426,1419,1,0.377,10391,4,0.527,1267,1,-1.016,29919,10,1.724,7808,3,1.31,1843,1,0.439,9035,3,1541,354,944,243,946
E01011017,Kirklees 013B,E08000034,Kirklees,37.918,4899,2,0.3,2204,1,0.153,6314,2,52.291,2841,1,0.334,11158,4,0.232,12995,4,19.315,17499,6,30.341,8609,3,0.218,8857,3,0.667,96,1,0.101,14455,5,0.58,359,1,-2.263,32823,10,2.407,5779,2,0.591,8041,3,0.409,9384,3,1568,339,980,249,962
E01011018,Kirklees 013C,E08000034,Kirklees,33.394,6508,2,0.234,4782,2,0.128,8718,3,45.498,4061,2,0.405,10255,4,0.756,5874,2,17.46,19843,7,30.077,8757,3,0.216,8999,3,0.423,1460,1,0.223,12556,4,0.53,1202,1,-1.317,31542,10,1.923,7158,3,0.54,8669,3,0.504,8374,3,1520,421,904,195,893
E01011019,Kirklees 013D,E08000034,Kirklees,22.001,12774,4,0.158,9770,3,0.074,17789,6,33.474,7287,3,-0.518,23669,8,0.184,13777,5,15.425,22449,7,42.839,3439,2,0.129,16090,5,0.367,2636,1,-0.092,17597,6,0.476,2914,1,-0.742,27332,9,1.126,10000,4,1.115,3013,1,0.265,11209,4,1644,315,1013,316,1000
E01011020,Kirklees 013E,E08000034,Kirklees,35.352,5771,2,0.249,4042,2,0.15,6611,3,54.736,2440,1,0.737,6508,2,0.155,14233,5,21.664,14703,5,13.808,20300,7,0.226,8360,3,0.508,590,1,0.622,7389,3,0.55,784,1,-1.037,30064,10,2.702,5090,2,-0.384,22328,7,0.257,11317,4,1436,425,873,138,864
E01011021,Kirklees 014A,E08000034,Kirklees,11.717,22501,7,0.054,25302,8,0.039,28132,9,10.487,21369,7,-0.763,26609,9,0.454,9704,3,21.851,14499,5,34.619,6420,2,0.09,20755,7,0.066,26067,8,-0.476,23583,8,0.282,18095,6,0.587,6970,3,-1.221,21949,7,0.849,5171,2,0.18,12418,4,1663,257,958,448,955
E01011022,Kirklees 014B,E08000034,Kirklees,18.963,15266,5,0.082,19264,6,0.071,18538,6,16.709,16041,5,-0.221,19450,6,0.597,7792,3,24.097,12038,4,41.87,3693,2,0.099,19591,6,0.08,23340,8,-0.483,23689,8,0.355,10307,4,0.62,6611,3,-0.69,18917,6,1.084,3225,1,0.259,11289,4,1413,254,819,340,835
E01011023,Kirklees 007C,E08000034,Kirklees,30.343,7873,3,0.141,11333,4,0.111,10879,4,27.68,9531,3,0.089,14682,5,1.347,1550,1,15.006,23007,8,54.488,1245,1,0.153,13828,5,0.149,14212,5,0.033,15513,5,0.415,5827,2,-0.572,25103,8,0.81,11331,4,1.365,1617,1,0.667,6778,3,1744,436,984,324,968
E01011024,Kirklees 007D,E08000034,Kirklees,36.031,5523,2,0.226,5210,2,0.157,5979,2,38.546,5755,2,0.599,7937,3,0.895,4432,2,23.611,12535,4,29.539,9079,3,0.259,6396,2,0.236,7718,3,0.554,8169,3,0.449,4080,2,0.188,12437,4,0.984,10614,4,0.645,7397,3,0.186,12332,4,1765,450,1071,244,1060
E01011025,Kirklees 016A,E08000034,Kirklees,49.051,2316,1,0.26,3607,2,0.21,2704,1,54.272,2515,1,0.733,6552,2,2.998,6,1,21.26,15192,5,29.209,9269,3,0.327,3355,2,0.21,9303,3,1.273,1973,1,0.458,3682,2,0.049,14814,5,0.884,11006,4,0.618,7728,3,0.221,11834,4,1479,414,861,204,844
E01011026,Kirklees 016B,E08000034,Kirklees,21.494,13179,5,0.149,10557,4,0.105,11789,4,23.293,11729,4,0.252,12309,4,0.328,11513,4,17.209,20167,7,16.323,18121,6,0.156,13528,5,0.237,7686,3,-0.149,18565,6,0.393,7261,3,-0.381,22229,7,1.006,10513,4,-0.063,17460,6,0.123,13263,5,1583,363,947,273,938
E01011027,Kirklees 006A,E08000034,Kirklees,34.153,6205,2,0.167,9013,3,0.138,7675,3,36.688,6262,2,0.447,9752,3,1.041,3220,1,26.664,9592,3,41.21,3877,2,0.234,7844,3,0.196,10276,4,0.695,6548,2,0.411,6102,2,0.432,8876,3,0.822,11280,4,0.928,4436,2,0.668,6776,3,1196,269,672,255,676
E01011028,Kirklees 006B,E08000034,Kirklees,34.602,6030,2,0.165,9154,3,0.128,8733,3,31.575,7957,3,0.604,7875,3,1.428,1256,1,21.996,14334,5,44.072,3133,1,0.211,9317,3,0.207,9522,3,0.266,11918,4,0.424,5328,2,0.056,14691,5,1.038,10385,4,1.13,2907,1,0.349,10120,4,1451,284,853,314,855
E01011029,Kirklees 010B,E08000034,Kirklees,57.678,1146,1,0.328,1487,1,0.25,1280,1,56.34,2205,1,1.213,2794,1,1.907,287,1,20.516,16043,5,29.762,8956,3,0.329,3297,2,0.352,2975,1,0.977,3931,2,0.52,1463,1,-0.567,25034,8,2.019,6874,3,0.161,13951,5,1.146,3242,1,1494,369,830,295,850
E01011030,Kirklees 006C,E08000034,Kirklees,43.999,3258,1,0.245,4243,2,0.178,4394,2,72.865,609,1,0.749,6377,2,0.954,3884,2,24.723,11413,4,19.691,15522,5,0.269,5922,2,0.302,4601,2,1.519,978,1,0.54,964,1,0.393,9376,3,0.515,12726,4,0.068,15401,5,0.293,10840,4,1635,464,932,239,928
E01011031,Kirklees 006D,E08000034,Kirklees,22.01,12765,4,0.103,15960,5,0.1,12572,4,25.77,10432,4,-0.121,17916,6,1.104,2778,1,20.965,15546,5,19.816,15436,5,0.196,10369,4,0.07,25233,8,0.393,10173,4,0.351,10678,4,0.452,8624,3,-0.756,19326,6,0.106,14807,5,0.242,11540,4,1647,277,922,448,932
E01011032,Kirklees 010C,E08000034,Kirklees,47.211,2617,1,0.284,2741,1,0.174,4688,2,67.294,976,1,0.321,11330,4,1.503,1053,1,22.92,13296,5,37.141,5328,2,0.335,3069,1,0.356,2874,1,1.388,1421,1,0.526,1291,1,-0.175,18848,6,1.842,7398,3,0.93,4423,2,0.217,11887,4,1704,508,955,241,951
E01011033,Kirklees 012A,E08000034,Kirklees,27.639,9227,3,0.138,11702,4,0.115,10312,4,32.729,7548,3,-0.187,18952,6,1.072,2980,1,14.863,23218,8,44.511,3017,1,0.189,10800,4,0.132,15964,5,0.361,10614,4,0.423,5393,2,-0.303,20952,7,0.283,13790,5,1.208,2392,1,0.109,13502,5,1752,413,1009,330,1008
E01011034,Kirklees 010D,E08000034,Kirklees,41.723,3803,2,0.255,3786,2,0.168,5108,2,59.794,1756,1,0.575,8236,3,0.965,3811,2,21.757,14605,5,32.004,7707,3,0.228,8226,3,0.445,1151,1,0.704,6457,2,0.571,458,1,-0.362,21933,7,1.954,7036,3,0.685,6933,3,0.358,10027,4,1700,487,967,246,934
E01011035,Kirklees 012B,E08000034,Kirklees,31.527,7280,3,0.174,8487,3,0.128,8740,3,40.701,5196,2,0.393,10426,4,0.909,4307,2,20.36,16229,5,34.7,6375,2,0.114,17785,6,0.403,1812,1,0.018,15771,5,0.517,1555,1,-0.459,23435,8,1.823,7470,3,0.647,7378,3,0.744,6112,2,1729,475,1004,250,972
E01011036,Kirklees 012C,E08000034,Kirklees,46.98,2661,1,0.247,4208,2,0.197,3274,1,71.942,653,1,0.807,5841,2,1.322,1663,1,22.012,14315,5,23.201,12986,4,0.22,8720,3,0.371,2523,1,1.182,2496,1,0.589,297,1,-0.332,21410,7,1.952,7047,3,0.295,11938,4,0.262,11252,4,1794,554,1025,215,994
E01011037,Kirklees 012D,E08000034,Kirklees,30.073,7997,3,0.167,8996,3,0.115,10294,4,31.412,8029,3,0.168,13485,5,1.31,1709,1,19.11,17731,6,35.846,5873,2,0.199,10167,4,0.189,10836,4,0.329,11028,4,0.415,5864,2,-0.009,15822,5,0.557,12502,4,0.809,5598,2,0.44,9022,3,2264,615,1336,313,1328
E01011038,Kirklees 029A,E08000034,Kirklees,58.233,1091,1,0.377,629,1,0.271,852,1,57.031,2097,1,1.16,3105,1,0.961,3838,2,26.741,9526,3,19.906,15360,5,0.429,970,1,0.33,3604,2,0.909,4472,2,0.532,1156,1,-0.274,20464,7,2.836,4751,2,0.012,16257,5,0.405,9433,3,1691,484,934,273,906
E01011039,Kirklees 027A,E08000034,Kirklees,27.835,9130,3,0.172,8636,3,0.154,6208,2,27.849,9457,3,0.21,12926,4,0.361,11008,4,20.316,16265,5,27.234,10398,4,0.186,11081,4,0.175,11910,4,0.403,10042,4,0.371,8957,3,0.134,13371,5,0.388,13282,5,0.61,7834,3,0.015,15033,5,1756,346,951,459,949
E01011040,Kirklees 031A,E08000034,Kirklees,34.379,6109,2,0.198,6812,3,0.136,7917,3,21.481,12865,4,0.376,10638,4,0.984,3655,2,17.457,19848,7,61.359,561,1,0.166,12592,4,0.295,4898,2,-0.15,18583,6,0.376,8565,3,-0.613,25716,8,1.432,8851,3,1.751,516,1,0.118,13351,5,1876,471,1204,201,1193
E01011041,Kirklees 029B,E08000034,Kirklees,40.889,4005,2,0.196,6872,3,0.164,5400,2,32.423,7646,3,0.859,5377,2,1.245,2003,1,18.297,18733,6,60.925,601,1,0.206,9673,3,0.172,12142,4,0.199,12926,4,0.439,4515,2,-0.756,27491,9,1.768,7649,3,1.7,599,1,0.216,11895,4,1551,311,954,286,963
E01011042,Kirklees 027B,E08000034,Kirklees,14.444,19500,6,0.079,19754,7,0.073,18082,6,5.773,26419,9,-0.291,20507,7,0.512,8907,3,20.725,15807,5,27.783,10086,4,0.068,24180,8,0.129,16344,5,-0.68,26264,8,0.224,24679,8,0.504,7948,3,-1.119,21370,7,0.684,6950,3,-0.137,17621,6,1627,330,935,362,934
E01011043,Kirklees 031B,E08000034,Kirklees,34.844,5947,2,0.202,6529,2,0.148,6750,3,27.121,9763,3,0.57,8283,3,0.828,5134,2,20.681,15852,5,49.6,1975,1,0.206,9700,3,0.324,3799,2,0.105,14385,5,0.403,6639,3,-0.68,26580,9,2.191,6358,2,1.376,1554,1,0.075,14085,5,2596,613,1702,281,1672
E01011044,Kirklees 031C,E08000034,Kirklees,23.492,11700,4,0.154,10117,4,0.114,10529,4,16.82,15949,5,-0.172,18701,6,0.633,7289,3,16.172,21453,7,37.837,5053,2,0.154,13641,5,0.208,9433,3,-0.332,21457,7,0.344,11288,4,-0.121,17811,6,0.143,14446,5,1.029,3663,2,-0.005,15384,5,1721,450,1012,259,998
E01011045,Kirklees 031D,E08000034,Kirklees,51.672,1926,1,0.334,1333,1,0.233,1817,1,57.48,2040,1,0.768,6198,2,0.769,5743,2,21.374,15049,5,39.996,4259,2,0.276,5543,2,0.431,1351,1,0.809,5389,2,0.546,855,1,-1.605,32314,10,2.798,4842,2,0.935,4383,2,0.519,8199,3,1982,485,1201,296,1190
E01011046,Kirklees 022A,E08000034,Kirklees,8.096,26951,9,0.022,32022,10,0.046,25896,8,1.56,31383,10,-0.539,23914,8,0.454,9713,3,21.777,14583,5,17.936,16861,6,0.022,31683,10,0.037,31092,10,-1.255,30979,10,0.156,30350,10,0.725,5587,2,-2.352,27270,9,-0.607,25253,8,0.885,4954,2,1344,225,689,430,711
E01011047,Kirklees 027C,E08000034,Kirklees,9.804,24752,8,0.047,26854,9,0.067,19456,6,4.062,28463,9,-0.584,24506,8,0.03,16233,5,26.631,9614,3,10.865,23146,8,0.047,27850,9,0.04,30698,10,-0.754,27137,9,0.193,27782,9,0.909,4054,2,-1.601,23943,8,-0.436,23055,8,-0.029,15762,5,1490,191,752,547,751
E01011048,Kirklees 002A,E08000034,Kirklees,31.539,7275,3,0.169,8903,3,0.132,8298,3,33.008,7438,3,0.662,7266,3,0.787,5561,2,15.007,23006,8,42.788,3457,2,0.196,10343,4,0.24,7466,3,0.491,8960,3,0.409,6255,2,-1.298,31473,10,1.39,8982,3,1.106,3078,1,0.292,10856,4,1643,205,928,510,960
E01011049,Kirklees 002B,E08000034,Kirklees,27.345,9379,3,0.139,11558,4,0.1,12472,4,26.095,10269,4,0.13,14022,5,1.889,309,1,9.028,29483,9,29.478,9110,3,0.21,9428,3,0.129,16352,5,0.404,10035,4,0.353,10511,4,-0.791,27870,9,-0.413,17415,6,0.517,8945,3,0.487,8537,3,1779,401,1008,370,1021
E01011050,Kirklees 002C,E08000034,Kirklees,11.617,22624,7,0.048,26719,9,0.064,20285,7,12.952,19089,6,-0.351,21475,7,0.714,6344,2,12.198,26349,9,16.742,17799,6,0.044,28407,9,0.065,26214,8,-0.214,19634,6,0.287,17463,6,0.111,13753,5,-2.179,26599,9,-0.13,18518,6,0.271,11128,4,1470,252,780,438,796
E01011051,Kirklees 001A,E08000034,Kirklees,11.348,22924,7,0.053,25333,8,0.031,30288,10,7.607,24366,8,-0.21,19280,6,0.721,6269,2,14.729,23377,8,31.419,8045,3,0.059,25759,8,0.074,24348,8,-0.54,24483,8,0.243,22507,7,0.241,11653,4,-1.826,25028,8,0.553,8499,3,0.62,7244,3,1573,265,915,393,904
E01011052,Kirklees 002D,E08000034,Kirklees,25.828,10294,4,0.138,11694,4,0.119,9783,3,25.789,10419,4,0.302,11606,4,1.044,3199,1,20.944,15565,5,19.44,15722,5,0.175,11887,4,0.137,15398,5,0.445,9491,3,0.343,11422,4,0.341,10181,4,-0.24,16457,6,0.085,15118,5,0.235,11643,4,1577,304,985,288,980
E01011053,Kirklees 002E,E08000034,Kirklees,14.487,19462,6,0.048,26743,9,0.064,20495,7,18.195,15003,5,0.162,13587,5,0.619,7468,3,8.565,29892,10,29.662,9020,3,0.072,23641,8,0.033,31654,10,-0.049,16882,6,0.33,12715,4,-0.338,21532,7,-1.52,23509,8,0.503,9144,3,0.542,7964,3,1431,216,784,431,809
E01011054,Kirklees 006E,E08000034,Kirklees,11.396,22864,7,0.056,24573,8,0.061,21153,7,12.339,19623,6,-0.232,19608,6,0.504,9034,3,15.941,21749,7,13.372,20698,7,0.058,25966,8,0.079,23478,8,-0.301,20978,7,0.289,17259,6,0.291,10887,4,-1.623,24033,8,-0.305,21224,7,0.121,13305,5,1397,185,679,533,694
E01011055,Kirklees 001B,E08000034,Kirklees,12.535,21568,7,0.035,29859,10,0.056,22894,7,8.683,23208,8,0.095,14601,5,0.654,7039,3,9.34,29212,9,33.6,6897,3,0.04,29110,9,0.044,30165,10,-0.858,28173,9,0.285,17763,6,-0.269,20388,7,-1.46,23180,8,0.649,7343,3,0.624,7189,3,1262,232,690,340,694
E01011056,Kirklees 001C,E08000034,Kirklees,9.403,25255,8,0.046,27225,9,0.047,25763,8,8.062,23872,8,-0.003,16069,5,-0.034,17197,6,9.31,29238,9,27.65,10164,4,0.049,27575,9,0.076,24072,8,-0.626,25603,8,0.259,20669,7,-0.183,18972,6,-1.815,24968,8,0.565,8382,3,0.178,12451,4,1803,369,930,504,935
E01011057,Kirklees 001D,E08000034,Kirklees,14.99,18920,6,0.079,19709,7,0.067,19521,6,8.635,23271,8,0.112,14333,5,0.278,12274,4,9.333,29216,9,37.87,5044,2,0.096,19944,7,0.099,20242,7,-0.571,24852,8,0.263,20239,7,-0.702,26847,9,-0.448,17599,6,1.066,3361,2,-0.156,17925,6,1293,230,709,354,717
E01011058,Kirklees 001E,E08000034,Kirklees,18.961,15268,5,0.117,14075,5,0.086,15062,5,20.084,13718,5,0.526,8798,3,-0.041,17308,6,7.82,30460,10,28.628,9600,3,0.168,12445,4,0.111,18422,6,0.05,15235,5,0.338,11897,4,-0.619,25792,8,-1.041,20962,7,0.652,7310,3,0.064,14268,5,1306,270,688,348,678
E01011059,Kirklees 002F,E08000034,Kirklees,53.031,1720,1,0.28,2882,1,0.183,4114,2,85.146,140,1,1.082,3661,2,2.124,118,1,19.972,16689,6,18.35,16548,6,0.347,2710,1,0.32,3945,2,1.908,216,1,0.56,615,1,-0.234,19833,7,1.331,9193,3,-0.066,17501,6,0.357,10034,4,1766,551,1024,191,1010
E01011060,Kirklees 005A,E08000034,Kirklees,33.971,6283,2,0.183,7834,3,0.197,3287,2,21.949,12566,4,0.717,6714,3,0.986,3637,2,19.117,17723,6,23.088,13068,4,0.165,12674,4,0.177,11708,4,0.023,15685,5,0.361,9759,3,0.209,12132,4,-0.208,16290,5,0.319,11636,4,0.208,12027,4,1554,220,848,486,865
E01011061,Kirklees 005B,E08000034,Kirklees,39.14,4528,2,0.224,5276,2,0.194,3467,2,34.937,6783,3,1.083,3653,2,0.915,4257,2,15.911,21796,7,28.881,9450,3,0.259,6407,2,0.261,6355,2,0.71,6381,2,0.392,7363,3,-0.676,26537,9,1.159,9863,4,0.512,9026,3,0.434,9097,3,1617,273,986,358,998
E01011062,Kirklees 003A,E08000034,Kirklees,16.289,17666,6,0.077,20022,7,0.056,22897,7,15.73,16810,6,-0.396,22064,7,0.483,9301,3,23.345,12828,4,39.253,4519,2,0.109,18392,6,0.078,23606,8,0.039,15404,5,0.288,17378,6,0.612,6685,3,-0.878,20009,7,0.797,5722,2,0.831,5389,2,2110,478,1260,372,1247
E01011063,Kirklees 005C,E08000034,Kirklees,19.638,14676,5,0.101,16195,5,0.073,17940,6,16.792,15968,5,-0.128,18020,6,0.771,5727,2,8.029,30302,10,46.524,2546,1,0.131,15867,5,0.14,15096,5,-0.121,18096,6,0.323,13448,5,-1.134,30693,10,-0.384,17269,6,1.215,2348,1,0.309,10627,4,2222,439,1237,546,1253
E01011064,Kirklees 003B,E08000034,Kirklees,32.939,6696,3,0.189,7381,3,0.138,7649,3,29.073,8941,3,0.531,8727,3,0.691,6611,3,29.769,7128,3,36.625,5530,2,0.303,4264,2,0.146,14506,5,0.435,9621,3,0.378,8363,3,0.697,5871,2,0.504,12772,4,0.972,4084,2,0.03,14798,5,1655,299,929,427,938
E01011065,Kirklees 005D,E08000034,Kirklees,21.342,13276,5,0.106,15546,5,0.085,15199,5,22.658,12131,4,-0.113,17781,6,0.629,7340,3,11.566,27064,9,46.896,2472,1,0.139,15045,5,0.131,16061,5,0.245,12240,4,0.34,11755,4,-0.431,22996,8,-0.309,16858,6,1.232,2249,1,0.289,10896,4,1638,335,1032,271,1016
E01011066,Kirklees 005E,E08000034,Kirklees,8.753,26112,8,0.047,26807,9,0.046,26136,8,11.364,20551,7,-0.559,24163,8,0.384,10690,4,11.99,26575,9,17.84,16950,6,0.086,21428,7,0.049,29326,9,-0.409,22619,7,0.287,17453,6,0.012,15460,5,-1.643,24136,8,0.061,15511,5,0.097,13720,5,1503,271,785,447,788
E01011067,Kirklees 008A,E08000034,Kirklees,14.136,19803,7,0.088,18142,6,0.06,21484,7,13.583,18520,6,-0.032,16476,6,0.24,12873,4,20.042,16598,6,21.066,14516,5,0.135,15480,5,0.091,21384,7,-0.203,19458,6,0.294,16659,6,0.482,8219,3,-1.227,21978,7,0.283,12092,4,0.041,14626,5,1585,257,857,471,870
E01011068,Kirklees 003C,E08000034,Kirklees,14.578,19366,6,0.048,26591,9,0.054,23393,8,11.114,20794,7,-0.267,20142,7,-0.008,16809,6,32.101,5583,2,37.516,5162,2,0.046,28001,9,0.069,25459,8,-0.525,24265,8,0.294,16628,6,1.257,2224,1,-1.854,25164,8,0.876,4945,2,0.43,9131,3,1662,281,968,413,967
E01011069,Kirklees 003D,E08000034,Kirklees,14.082,19870,7,0.077,20038,7,0.06,21419,7,13.613,18493,6,-0.477,23095,8,0.489,9215,3,16.946,20508,7,31.384,8061,3,0.09,20766,7,0.083,22736,7,-0.477,23588,8,0.321,13683,5,0.194,12343,4,-0.775,19431,6,0.654,7274,3,0.366,9925,4,1466,246,763,457,784
E01011070,Kirklees 052A,E08000034,Kirklees,15.481,18464,6,0.076,20281,7,0.059,21895,7,8.494,23408,8,-0.661,25480,8,-0.099,18121,6,25.826,10336,4,48.706,2131,1,0.134,15615,5,0.065,26253,8,-0.257,20324,7,0.221,25059,8,0.924,3933,2,-2.136,26436,9,1.49,1129,1,-0.686,25988,8,1637,282,900,455,929
E01011071,Kirklees 049A,E08000034,Kirklees,16.188,17762,6,0.066,22324,7,0.066,19916,7,14.975,17378,6,-0.086,17356,6,0.182,13804,5,24.614,11509,4,37.317,5253,2,0.094,20291,7,0.081,23213,8,0.038,15421,5,0.277,18566,6,0.759,5271,2,-1.302,22414,7,1.13,2906,1,-0.61,25046,8,1626,301,889,436,893
E01011072,Kirklees 049B,E08000034,Kirklees,13.945,20007,7,0.072,21119,7,0.071,18628,6,10.213,21621,7,-0.471,23025,8,0.221,13173,5,16.345,21236,7,36.254,5703,2,0.057,26101,8,0.115,17940,6,-0.495,23839,8,0.279,18342,6,0.212,12084,4,-1.035,20930,7,1.035,3610,2,-0.253,19523,6,1594,310,948,336,970
