id,title,employer,location,distance,wage,trainingCourse,level,duration,startDate,closingDate,positions,trainingProvider,url
"VAC2000023807","Digital and Multi-Channel Marketing Apprentice","CODE 11 CARAVAN AND MOTORHOMES LTD","OSSETT (WF5 9AQ)","9.3 miles","£16,640 for your first year, then could increase depending on your age","Multi-channel marketer (level 3)","3","1 year 6 months","Thursday 30 April 2026","Closes in 8 days (Thursday 23 April 2026 at 11:59pm)","1","LUMINATE EDUCATION GROUP","https://www.findapprenticeship.service.gov.uk/apprenticeship/VAC2000023807"
"VAC2000024199","Pharmacy Assistant Apprenticeship","SIDDIQUE PHARMACY LTD","99 HORTON PARK AVENUE (BD7 3EG)","9.4 miles","£16,640 for your first year, then could increase depending on your age","Pharmacy services assistant (level 2)","2","1 year 3 months","Thursday 30 April 2026","Closes in 14 days (Wednesday 29 April 2026)","1","I &amp; F LIMITED","https://www.findapprenticeship.service.gov.uk/apprenticeship/VAC2000024199"
"VAC2000020066","Apprentice Management Support Technician","EN:Able Futures CIC","Leeds (LS27 7JZ)","9.5 miles","£17,524 a year","Construction support technician (level 3)","3","2 years","Monday 27 April 2026","Closes in 9 days (Friday 24 April 2026 at 11:59pm)","1","LEEDS COLLEGE OF BUILDING","https://www.findapprenticeship.service.gov.uk/apprenticeship/VAC2000020066"
"VAC2000024203","(App832) Apprentice Site Supervisor Level 2","IEXEL EDUCATION TRUST","Bradford (BD4 7EB)","9.6 miles","£15,392 for your first year, then could increase depending on your age","Property maintenance operative (level 2)","2","2 years 3 months","Friday 1 May 2026","Closes in 15 days (Thursday 30 April 2026)","1","CALDERDALE COLLEGE","https://www.findapprenticeship.service.gov.uk/apprenticeship/VAC2000024203"
"VAC2000020026","(App827) Apprentice Business Administrator Level 3","JOHN VEITCH LIMITED","WEST YORKSHIRE (HX7 5HZ)","9.8 miles","£15,600 a year","Business administrator (level 3)","3","1 year 9 months","Friday 1 May 2026","Closes in 15 days (Thursday 30 April 2026)","1","CALDERDALE COLLEGE","https://www.findapprenticeship.service.gov.uk/apprenticeship/VAC2000020026"
"VAC2000021732","(App827) Apprentice Business Administrator Level 3","JOHN VEITCH LIMITED","WEST YORKSHIRE (HX7 5HZ)","9.8 miles","£15,600 a year","Business administrator (level 3)","3","1 year 6 months","Friday 1 May 2026","Closes in 15 days (Thursday 30 April 2026)","1","CALDERDALE COLLEGE","https://www.findapprenticeship.service.gov.uk/apprenticeship/VAC2000021732"
"VAC2000016667","Apprentice HR Business Partner Level 5","SOL PV GROUP LTD","HEBDEN BRIDGE (HX7 5HB)","9.9 miles","£20,000 a year","People professional (level 5)","5","2 years 1 months","Friday 1 May 2026","Closes in 15 days (Thursday 30 April 2026)","1","CALDERDALE COLLEGE","https://www.findapprenticeship.service.gov.uk/apprenticeship/VAC2000016667"
"VAC2000018721","Multi-Channel Marketing Apprentice Level 3","SOL PV GROUP LTD","HEBDEN BRIDGE (HX7 5HB)","9.9 miles","£16,640 for your first year, then could increase depending on your age","Multi-channel marketer (level 3)","3","1 year 9 months","Friday 1 May 2026","Closes in 15 days (Thursday 30 April 2026)","1","CALDERDALE COLLEGE","https://www.findapprenticeship.service.gov.uk/apprenticeship/VAC2000018721"
"VAC2000026287","Childcare Apprenticeship - Ossett","Silkwood Nursery","Total Fitness (WF5 9AD)","9.9 miles","£12,480 for your first year, then could increase depending on your age","Early years practitioner (level 2)","2","1 year","Sunday 17 May 2026","Closes in 25 days (Sunday 10 May 2026)","1","","https://www.findapprenticeship.service.gov.uk/apprenticeship/VAC2000026287"
"VAC2000024169","Early Years Lead Practitioner Level 5 Apprenticeship","SKIES OF SERENITY LTD","BRADFORD (BD7 1HR)","10.0 miles","£30,000 a year","Early years lead practitioner (level 5)","5","2 years","Wednesday 29 April 2026","Closes in 13 days (Tuesday 28 April 2026 at 11:59pm)","1","JUNIPER TRAINING LIMITED","https://www.findapprenticeship.service.gov.uk/apprenticeship/VAC2000024169"
"VAC2000022462","Apprenticeship Early Years Educator Level 3","PETIT POIS DAYCARE LIMITED","BRADFORD (BD1 3JL)","10.3 miles","£16,640 for your first year, then could increase depending on your age","Early years educator (level 3)","3","1 year 6 months","Saturday 30 May 2026","Friday 29 May 2026","1","JUNIPER TRAINING LIMITED","https://www.findapprenticeship.service.gov.uk/apprenticeship/VAC2000022462"
"VAC2000014290","Apprentice Sales Admin","NICHE OFFICE SOLUTIONS LTD","Bradford (BD1 4PS)","10.3 miles","£15,600 to £24,784.50, depending on your age","Business administrator (level 3)","3","1 year 3 months","Monday 4 May 2026","Closes in 16 days (Friday 1 May 2026 at 11:59pm)","1","CRAVEN COLLEGE","https://www.findapprenticeship.service.gov.uk/apprenticeship/VAC2000014290"
"VAC2000021715","Apprentice Motor Vehicle Technician Level 3","CHRIS UMPLEBY VAG LIMITED","BRADFORD (BD8 9TG)","10.3 miles","£16,640 for your first year, then could increase depending on your age","Motor vehicle service and maintenance technician - light vehicle (level 3)","3","3 years","Friday 1 May 2026","Closes in 15 days (Thursday 30 April 2026)","1","CALDERDALE COLLEGE","https://www.findapprenticeship.service.gov.uk/apprenticeship/VAC2000021715"
"VAC2000025938","Apprentice Business Administrator","Homelets Property Management","BRADFORD (BD8 9BS)","10.4 miles","£15,600 for your first year, then could increase depending on your age","Business administrator (level 3)","3","1 year 3 months","Monday 18 May 2026","Closes in 13 days (Tuesday 28 April 2026)","1","SHIPLEY COLLEGE","https://www.findapprenticeship.service.gov.uk/apprenticeship/VAC2000025938"
"VAC2000025698","Accounts Assistant Apprentice","CT Skills","Unit 1, The Courtyard, Midpoint, Thornbury, Bradford (BD3 7AY)","10.8 miles","£15,600 for your first year, then could increase depending on your age","Accounts or finance assistant (level 2)","2","1 year 2 months","Monday 11 May 2026","Closes in 23 days (Friday 8 May 2026)","1","CT SKILLS LIMITED","https://www.findapprenticeship.service.gov.uk/apprenticeship/VAC2000025698"
"VAC2000021251","Early Years Educator L3 Apprenticeship","SPINNING TOP CHILDCARE LTD","BRADFORD (BD3 8JT)","10.8 miles","£12,480 for your first year, then could increase depending on your age","Early years educator (level 3)","3","1 year 6 months","Saturday 2 May 2026","Closes in 9 days (Friday 24 April 2026 at 11:59pm)","1","JUNIPER TRAINING LIMITED","https://www.findapprenticeship.service.gov.uk/apprenticeship/VAC2000021251"
"VAC2000025126","(App833) Apprentice Property Maintenance Operative Level 2","IEXEL EDUCATION TRUST","Bradford (BD3 0LT)","11.0 miles","£15,392 for your first year, then could increase depending on your age","Property maintenance operative (level 2)","2","2 years 3 months","Friday 1 May 2026","Closes in 15 days (Thursday 30 April 2026)","1","CALDERDALE COLLEGE","https://www.findapprenticeship.service.gov.uk/apprenticeship/VAC2000025126"
