referenceNumber,larsCode,title,level,route,typicalDuration,maxFunding,status
"ST0622","339","Bicycle mechanic","2","Engineering and manufacturing","18","7000","Approved for delivery"
"ST0118","80","Data analyst","4","Digital","24","15000","Approved for delivery"
"ST0424","460","Broadcast and media systems technical operator","3","Creative and design","22","15000","Approved for delivery"
"ST0004","17","Actuarial technician","4","Legal, finance and accounting","24","15000","Approved for delivery"
"ST0856","699","Space systems engineer","6","Engineering and manufacturing","48","27000","Approved for delivery"
"ST0364","226","Marine engineer","3","Engineering and manufacturing","42","27000","Approved for delivery"
"ST0203","137","Furniture manufacturer","2","Engineering and manufacturing","24","9000","Approved for delivery"
"ST0485","448","Network cable installer","3","Digital","15","11000","Approved for delivery"
"ST1490","","Journalist","6","Creative and design","18","14000","Approved for delivery"
"ST1516","","Junior journalist","5","Creative and design","14","13000","Approved for delivery"
"ST0998","692","Trading standards professional","6","Business and administration","36","22000","Approved for delivery"
"ST1007","727","Aviation flight operations coordinator","3","Transport and logistics","18","8000","Approved for delivery"
"ST0584","411","Funeral director","3","Sales, marketing and procurement","12","4500","Approved for delivery"
"ST0861","624","Asset manager","4","Engineering and manufacturing","18","9000","Approved for delivery"
"ST0867","696","Playworker","2","Care services","18","5000","Approved for delivery"
"ST0898","568","Water network operative","2","Engineering and manufacturing","18","13000","Approved for delivery"
"ST0470","541","Digital user experience (UX) professional (integrated degree)","6","Digital","48","24000","Approved for delivery"
"ST0786","483","Associate continuing healthcare practitioner","5","Health and science","24","10000","Approved for delivery"
"ST0595","490","Air traffic controller","5","Transport and logistics","15","27000","Approved for delivery"
"ST0518","506","Physician associate - integrated degree","7","Health and science","30","17000","Approved for delivery"
"ST0902","648","VFX artist or technical director","6","Creative and design","18","11000","Approved for delivery"
"ST0062","173","Building services engineering craftsperson","3","Construction and the built environment","36","17000","Approved for delivery"
"ST1488","801","Food and beverage team member","2","Catering and hospitality","12","6000","Approved for delivery"
"ST0478","215","Community activator coach","2","Health and science","18","6000","Approved for delivery"
"ST0698","462","Transport planner (integrated degree)","6","Construction and the built environment","60","23000","Approved for delivery"
"ST0259","111","Supply chain warehouse operative","2","Transport and logistics","12","5000","Approved for delivery"
