time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,lad_code,lad_name,pcon_code,pcon_name,age_summary,apps_level,sex,starts,achievements,participation
202324,Academic year,Local authority district,E92000001,England,E12000003,Yorkshire and The Humber,E08000034,Kirklees,"","",Under 19,Total,Male,520,270,890
202324,Academic year,Local authority district,E92000001,England,E12000003,Yorkshire and The Humber,E08000034,Kirklees,"","",Under 19,Intermediate Apprenticeship,Male,180,130,320
202324,Academic year,Local authority district,E92000001,England,E12000003,Yorkshire and The Humber,E08000034,Kirklees,"","",Under 19,Advanced Apprenticeship,Male,300,130,530
202324,Academic year,Local authority district,E92000001,England,E12000003,Yorkshire and The Humber,E08000034,Kirklees,"","",Under 19,Higher Apprenticeship,Male,40,10,50
202324,Academic year,Local authority district,E92000001,England,E12000003,Yorkshire and The Humber,E08000034,Kirklees,"","",19-24,Total,Total,870,530,2340
202324,Academic year,Local authority district,E92000001,England,E12000003,Yorkshire and The Humber,E08000034,Kirklees,"","",19-24,Intermediate Apprenticeship,Total,160,110,420
202324,Academic year,Local authority district,E92000001,England,E12000003,Yorkshire and The Humber,E08000034,Kirklees,"","",19-24,Advanced Apprenticeship,Total,430,290,1290
202324,Academic year,Local authority district,E92000001,England,E12000003,Yorkshire and The Humber,E08000034,Kirklees,"","",19-24,Higher Apprenticeship,Total,280,130,650
202324,Academic year,Local authority district,E92000001,England,E12000003,Yorkshire and The Humber,E08000034,Kirklees,"","",19-24,Total,Female,430,260,990
202324,Academic year,Local authority district,E92000001,England,E12000003,Yorkshire and The Humber,E08000034,Kirklees,"","",19-24,Intermediate Apprenticeship,Female,80,50,190
202324,Academic year,Local authority district,E92000001,England,E12000003,Yorkshire and The Humber,E08000034,Kirklees,"","",19-24,Advanced Apprenticeship,Female,220,140,510
202324,Academic year,Local authority district,E92000001,England,E12000003,Yorkshire and The Humber,E08000034,Kirklees,"","",19-24,Higher Apprenticeship,Female,140,70,300
202324,Academic year,Local authority district,E92000001,England,E12000003,Yorkshire and The Humber,E08000034,Kirklees,"","",19-24,Total,Male,440,270,1350
202324,Academic year,Local authority district,E92000001,England,E12000003,Yorkshire and The Humber,E08000034,Kirklees,"","",19-24,Intermediate Apprenticeship,Male,90,60,240
202324,Academic year,Local authority district,E92000001,England,E12000003,Yorkshire and The Humber,E08000034,Kirklees,"","",19-24,Advanced Apprenticeship,Male,210,140,780
202324,Academic year,Local authority district,E92000001,England,E12000003,Yorkshire and The Humber,E08000034,Kirklees,"","",19-24,Higher Apprenticeship,Male,140,70,360
202324,Academic year,Local authority district,E92000001,England,E12000003,Yorkshire and The Humber,E08000034,Kirklees,"","",25+,Total,Total,1330,670,2920
202324,Academic year,Local authority district,E92000001,England,E12000003,Yorkshire and The Humber,E08000034,Kirklees,"","",25+,Intermediate Apprenticeship,Total,160,100,350
202324,Academic year,Local authority district,E92000001,England,E12000003,Yorkshire and The Humber,E08000034,Kirklees,"","",25+,Advanced Apprenticeship,Total,440,280,1020
202324,Academic year,Local authority district,E92000001,England,E12000003,Yorkshire and The Humber,E08000034,Kirklees,"","",25+,Higher Apprenticeship,Total,720,290,1560
202324,Academic year,Local authority district,E92000001,England,E12000003,Yorkshire and The Humber,E08000034,Kirklees,"","",25+,Total,Female,800,410,1750
202324,Academic year,Local authority district,E92000001,England,E12000003,Yorkshire and The Humber,E08000034,Kirklees,"","",25+,Intermediate Apprenticeship,Female,90,60,200
202324,Academic year,Local authority district,E92000001,England,E12000003,Yorkshire and The Humber,E08000034,Kirklees,"","",25+,Advanced Apprenticeship,Female,260,170,600
202324,Academic year,Local authority district,E92000001,England,E12000003,Yorkshire and The Humber,E08000034,Kirklees,"","",25+,Higher Apprenticeship,Female,450,180,960
202324,Academic year,Local authority district,E92000001,England,E12000003,Yorkshire and The Humber,E08000034,Kirklees,"","",25+,Total,Male,530,260,1170
202324,Academic year,Local authority district,E92000001,England,E12000003,Yorkshire and The Humber,E08000034,Kirklees,"","",25+,Intermediate Apprenticeship,Male,80,50,150
202324,Academic year,Local authority district,E92000001,England,E12000003,Yorkshire and The Humber,E08000034,Kirklees,"","",25+,Advanced Apprenticeship,Male,180,110,420
202324,Academic year,Local authority district,E92000001,England,E12000003,Yorkshire and The Humber,E08000034,Kirklees,"","",25+,Higher Apprenticeship,Male,270,100,600
202122,Academic year,Local authority district,E92000001,England,E12000003,Yorkshire and The Humber,E08000034,Kirklees,"","",Total,Total,Total,2900,1230,6260
202122,Academic year,Local authority district,E92000001,England,E12000003,Yorkshire and The Humber,E08000034,Kirklees,"","",Total,Intermediate Apprenticeship,Total,770,390,1560
202122,Academic year,Local authority district,E92000001,England,E12000003,Yorkshire and The Humber,E08000034,Kirklees,"","",Total,Advanced Apprenticeship,Total,1360,560,2940
202122,Academic year,Local authority district,E92000001,England,E12000003,Yorkshire and The Humber,E08000034,Kirklees,"","",Total,Higher Apprenticeship,Total,780,270,1820
202122,Academic year,Local authority district,E92000001,England,E12000003,Yorkshire and The Humber,E08000034,Kirklees,"","",Total,Total,Female,1500,630,3040
202122,Academic year,Local authority district,E92000001,England,E12000003,Yorkshire and The Humber,E08000034,Kirklees,"","",Total,Intermediate Apprenticeship,Female,360,200,740
202122,Academic year,Local authority district,E92000001,England,E12000003,Yorkshire and The Humber,E08000034,Kirklees,"","",Total,Advanced Apprenticeship,Female,680,280,1300
202122,Academic year,Local authority district,E92000001,England,E12000003,Yorkshire and The Humber,E08000034,Kirklees,"","",Total,Higher Apprenticeship,Female,470,150,1020
202122,Academic year,Local authority district,E92000001,England,E12000003,Yorkshire and The Humber,E08000034,Kirklees,"","",Total,Total,Male,1400,590,3230
202122,Academic year,Local authority district,E92000001,England,E12000003,Yorkshire and The Humber,E08000034,Kirklees,"","",Total,Intermediate Apprenticeship,Male,410,190,820
202122,Academic year,Local authority district,E92000001,England,E12000003,Yorkshire and The Humber,E08000034,Kirklees,"","",Total,Advanced Apprenticeship,Male,680,280,1640
